_id,Fiscal_Year,Budget_Type,Organization_Entity,Command_Name,Pillar_Name,District_Name,Unit_Name,Feature_Category,Cost_Element,Cost_Element_Long_Name,Amount
61,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,2-Premium Pay,1574,Lieutime premium pay - Uniform,3561100
62,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,2-Premium Pay,1582,Overtime premium pay - Civilian,267800
63,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,2-Premium Pay,1592,Overtime premium pay - Contract,262700
64,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,3-Benefits,1718,A.D.&D. Insurance,726200
65,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,3-Benefits,1711,Comprehensive Medical,32552000
66,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,3-Benefits,1712,Dental Plan,13561300
67,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,3-Benefits,1730,Group Life Insurance,2531700
68,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,3-Benefits,1720,Long-term Disability - Association,226000
69,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,3-Benefits,1722,Long-term Disability - Sr. Officer,410600
70,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,3-Benefits,1714,Medical/dental - retiree,2554800
71,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,3-Benefits,1713,Medical/dental admin. fees & taxes,6098700
72,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,3-Benefits,1750,Ontario Health Tax,18215100
73,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,3-Benefits,1715,Paid-up Life - retiree,1004900
74,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,3-Benefits,1716,Widow & pension allowance,300000
75,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,3-Benefits,1975,WSIB - Administration costs,8493500
76,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,3-Benefits,1970,WSIB - Medical / dental,10555800
77,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,4-Materials & Supplies,2084,Ammunition/Firearms supplies,2037300
78,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,4-Materials & Supplies,2260,Gasoline,12411400
79,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,4-Materials & Supplies,2082,Health & Safety supplies,175000
80,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,4-Materials & Supplies,2999,Miscellaneous materials,103900
81,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,4-Materials & Supplies,2182,Parts - bicycles,104100
